Name,BSE Code,NSE Code,Industry,Market Capitalization
R R Kabel,543981,RRKABEL,Cables - Electricals,16676.8
Syrma SGS Tech.,543573,SYRMA,Industrial Products,16603.78
Aarti Industries,524208,AARTIIND,Specialty Chemicals,16447.28
Belrise Industri,544405,BELRISE,Auto Components & Equipments,16404.94
Bikaji Foods,543653,BIKAJI,Packaged Foods,16384.98
Capri Global,531595,CGCL,Non Banking Financial Company (NBFC),16331.65
CIE Automotive,532756,CIEINDIA,Auto Components & Equipments,16314.47
Devyani Intl.,543330,DEVYANI,Restaurants,16292.05
BASF India,500042,BASF,Specialty Chemicals,16243.8
KEC International,532714,KEC,Civil Construction,16229.34
Acutaas Chemical,543349,ACUTAAS,Pharmaceuticals,16214.98
IFCI,500106,IFCI,Financial Institution,16163.1
Vertis Infra.,,VERTIS,"Road AssetsToll, Annuity, Hybrid-Annuity",16156.83
Amara Raja Ener.,500008,ARE&M,Auto Components & Equipments,16027.47
Sobha,532784,SOBHA,"Residential, Commercial Projects",15977.8
Alembic Pharma,533573,APLLTD,Pharmaceuticals,15927.47
Nava,513023,NAVA,Power Generation,15904.25
Triveni Turbine,533655,TRITURBINE,Heavy Electrical Equipment,15884.95
Crompton Gr. Con,539876,CROMPTON,Household Appliances,15881.53
Vinati Organics,524200,VINATIORGA,Specialty Chemicals,15873.28
EID Parry,500125,EIDPARRY,Other Food Products,15838.94
TBO Tek,544174,TBOTEK,"Tour, Travel Related Services",15800.53
CEAT,500878,CEATLTD,Tyres & Rubber Products,15703.62
Jubilant Pharmo,530019,JUBLPHARMA,Pharmaceuticals,15506.24
Elgi Equipments,522074,ELGIEQUIP,"Compressors, Pumps & Diesel Engines",15457.17
JK Tyre & Indust,530007,JKTYRE,Tyres & Rubber Products,15456.59
Mah. Scooters,500266,MAHSCOOTER,Investment Company,15366.84
